HS2,HS4,HS6,description,clean_description
,,30233.0,"Fish; fresh or chilled, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled skipjack tuna stripe belly bonito katsuwonus pelamis exclude fillet fish meat edible fish offal subheading
,,30234.0,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled bigeye tuna thunnu obesus exclude fillet fish meat edible fish offal subheading
,,30235.0,"Fish; fresh or chilled, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled atlantic pacific bluefin tuna thunnu thynnus thunnu orientali exclude fillet fish meat edible fish offal subheading
,,30236.0,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled southern bluefin tuna thunnu maccoyii exclude fillet fish meat edible fish offal subheading
,,30239.0,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled tuna item exclude fillet fish meat edible fish offal subheading
,,30241.0,"Fish; fresh or chilled, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled herring clupea harengus clupea pallasii exclude fillet fish meat edible fish offal subheading
,,30242.0,"Fish; fresh or chilled, anchovies (Engraulis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled anchovy engraulis spp exclude fillet fish meat edible fish offal subheading
,,30243.0,"Fish; fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled sardine sardina pilchardus sardinop spp sardinella sardinella spp brisling sprat sprattus sprattus exclude fillet fish meat edible fish offal subheading
,,30244.0,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled mackerel scomber scombrus scomber australasicus scomber japonicus exclude fillet fish meat edible fish offal subheading
,,30245.0,"Fish; fresh or chilled, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled jack horse mackerel trachurus spp exclude fillet fish meat edible fish offal subheading
,,30246.0,"Fish; fresh or chilled, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled cobia rachycentron canadum exclude fillet fish meat edible fish offal subheading
,,30247.0,"Fish; fresh or chilled, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled swordfish xiphias gladius exclude fillet fish meat edible fish offal subheading
,,30249.0,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled item exclude fillet fish meat edible fish offal subheading
